Clase,Especialización,Rol,Color_Ranura,Gema_Principal_Nombre,Gema_Principal_ID,Gema_Alternativa_Nombre,Gema_Alternativa_ID,Prioridad_Estadística
Warrior,Arms,DPS,Red,Fractured Cardinal Ruby,40117,Bold Cardinal Ruby,40111,ArP cap 1400
Warrior,Arms,DPS,Yellow,Fractured Cardinal Ruby,40117,Inscribed Ametrine,40142,ArP cap 1400 / Str
Warrior,Arms,DPS,Blue,Nightmare Tear,44342,Fractured Cardinal Ruby,40117,Activar meta
Warrior,Arms,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"21 Agi + 3% crit dmg"

Warrior,Fury,DPS,Red,Bold Cardinal Ruby,40111,Fractured Cardinal Ruby,40117,Str > ArP (según gear)
Warrior,Fury,DPS,Yellow,Inscribed Ametrine,40142,Bold Cardinal Ruby,40111,Str + Crit
Warrior,Fury,DPS,Blue,Nightmare Tear,44342,Bold Cardinal Ruby,40111,Activar meta
Warrior,Fury,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"21 Agi + 3% crit dmg"

Paladin,Retribution,DPS,Red,Bold Cardinal Ruby,40111,Etched Ametrine,40143,Str > Hit cap 8%
Paladin,Retribution,DPS,Yellow,Inscribed Ametrine,40142,Bold Cardinal Ruby,40111,Str + Crit
Paladin,Retribution,DPS,Blue,Nightmare Tear,44342,Bold Cardinal Ruby,40111,Activar meta
Paladin,Retribution,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"21 Agi + 3% crit dmg"

Paladin,Holy,Healer,Red,Runed Cardinal Ruby,40113,Luminous Ametrine,40151,SP
Paladin,Holy,Healer,Yellow,Quick King's Amber,40155,Luminous Ametrine,40151,Haste
Paladin,Holy,Healer,Blue,Brilliant King's Amber,40123,Runed Cardinal Ruby,40113,Intellect stacking
Paladin,Holy,Healer,Meta,Insightful Earthsiege Diamond,41401,,,"600 mana proc"

Paladin,Protection,Tank,Red,Shifting Dreadstone,40130,Precise Cardinal Ruby,40118,Agi / Expertise
Paladin,Protection,Tank,Yellow,Enduring Eye of Zul,40127,Thick King's Amber,40125,Defense cap 540
Paladin,Protection,Tank,Blue,Solid Majestic Zircon,40119,Shifting Dreadstone,40130,Stamina stacking
Paladin,Protection,Tank,Meta,Austere Earthsiege Diamond,41380,,,"32 Stam + 2% armor"

Death Knight,Blood,Tank,Red,Shifting Dreadstone,40130,Precise Cardinal Ruby,40118,Agi / Expertise
Death Knight,Blood,Tank,Yellow,Enduring Eye of Zul,40127,Thick King's Amber,40125,Defense cap
Death Knight,Blood,Tank,Blue,Solid Majestic Zircon,40119,,,"Stamina stacking"
Death Knight,Blood,Tank,Meta,Austere Earthsiege Diamond,41380,,,"32 Stam + 2% armor"

Death Knight,Frost,DPS,Red,Fractured Cardinal Ruby,40117,Bold Cardinal Ruby,40111,ArP cap
Death Knight,Frost,DPS,Yellow,Fractured Cardinal Ruby,40117,Inscribed Ametrine,40142,ArP > Str
Death Knight,Frost,DPS,Blue,Nightmare Tear,44342,Fractured Cardinal Ruby,40117,Activar meta
Death Knight,Frost,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"crit dmg"

Death Knight,Unholy,DPS,Red,Bold Cardinal Ruby,40111,Etched Ametrine,40143,Str > Hit
Death Knight,Unholy,DPS,Yellow,Inscribed Ametrine,40142,Bold Cardinal Ruby,40111,Str + Crit
Death Knight,Unholy,DPS,Blue,Nightmare Tear,44342,Bold Cardinal Ruby,40111,Activar meta
Death Knight,Unholy,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"crit dmg"

Hunter,Marksmanship,DPS,Red,Fractured Cardinal Ruby,40117,Delicate Cardinal Ruby,40112,ArP cap
Hunter,Marksmanship,DPS,Yellow,Fractured Cardinal Ruby,40117,Deadly Ametrine,40147,ArP > Agi
Hunter,Marksmanship,DPS,Blue,Nightmare Tear,44342,Fractured Cardinal Ruby,40117,Activar meta
Hunter,Marksmanship,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"crit dmg"

Hunter,Survival,DPS,Red,Delicate Cardinal Ruby,40112,,,"Agility stacking"
Hunter,Survival,DPS,Yellow,Deadly Ametrine,40147,Delicate Cardinal Ruby,40112,Agi + Crit
Hunter,Survival,DPS,Blue,Nightmare Tear,44342,Delicate Cardinal Ruby,40112,Activar meta
Hunter,Survival,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"crit dmg"

Rogue,Combat,DPS,Red,Fractured Cardinal Ruby,40117,Bold Cardinal Ruby,40111,ArP cap
Rogue,Combat,DPS,Yellow,Fractured Cardinal Ruby,40117,Inscribed Ametrine,40142,ArP > Str
Rogue,Combat,DPS,Blue,Nightmare Tear,44342,Fractured Cardinal Ruby,40117,Activar meta
Rogue,Combat,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"crit dmg"

Rogue,Assassination,DPS,Red,Delicate Cardinal Ruby,40112,,,"Agility stacking"
Rogue,Assassination,DPS,Yellow,Deadly Ametrine,40147,Delicate Cardinal Ruby,40112,Agi + Crit
Rogue,Assassination,DPS,Blue,Nightmare Tear,44342,Delicate Cardinal Ruby,40112,Activar meta
Rogue,Assassination,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"crit dmg"

Shaman,Enhancement,DPS,Red,Delicate Cardinal Ruby,40112,,,"Agility stacking"
Shaman,Enhancement,DPS,Yellow,Deadly Ametrine,40147,Delicate Cardinal Ruby,40112,Agi + Crit
Shaman,Enhancement,DPS,Blue,Nightmare Tear,44342,Delicate Cardinal Ruby,40112,Activar meta
Shaman,Enhancement,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"crit dmg"

Shaman,Elemental,DPS,Red,Runed Cardinal Ruby,40113,,,"Spell Power"
Shaman,Elemental,DPS,Yellow,Reckless Ametrine,40133,Runed Cardinal Ruby,40113,SP + Haste
Shaman,Elemental,DPS,Blue,Nightmare Tear,44342,Runed Cardinal Ruby,40113,Activar meta
Shaman,Elemental,DPS,Meta,Chaotic Skyflare Diamond,41285,,,"crit dmg caster"

Shaman,Restoration,Healer,Red,Runed Cardinal Ruby,40113,,,"SP"
Shaman,Restoration,Healer,Yellow,Quick King's Amber,40155,Reckless Ametrine,40133,Haste
Shaman,Restoration,Healer,Blue,Majestic Zircon,40119,Runed Cardinal Ruby,40113,Mana/Stam
Shaman,Restoration,Healer,Meta,Insightful Earthsiege Diamond,41401,,,"mana proc"

Druid,Feral DPS,DPS,Red,Fractured Cardinal Ruby,40117,Delicate Cardinal Ruby,40112,ArP cap
Druid,Feral DPS,DPS,Yellow,Fractured Cardinal Ruby,40117,Deadly Ametrine,40147,ArP
Druid,Feral DPS,DPS,Blue,Nightmare Tear,44342,Fractured Cardinal Ruby,40117,Activar meta
Druid,Feral DPS,DPS,Meta,Relentless Earthsiege Diamond,41398,,,"crit dmg"

Druid,Feral Tank,Tank,Red,Shifting Dreadstone,40130,,,"Agi"
Druid,Feral Tank,Tank,Yellow,Enduring Eye of Zul,40127,,,"Defense"
Druid,Feral Tank,Tank,Blue,Solid Majestic Zircon,40119,,,"Stamina"
Druid,Feral Tank,Tank,Meta,Austere Earthsiege Diamond,41380,,,"armor"

Druid,Balance,DPS,Red,Runed Cardinal Ruby,40113,,,"SP"
Druid,Balance,DPS,Yellow,Reckless Ametrine,40133,,,"SP + Haste"
Druid,Balance,DPS,Blue,Nightmare Tear,44342,Runed Cardinal Ruby,40113,Activar meta
Druid,Balance,DPS,Meta,Chaotic Skyflare Diamond,41285,,,"crit dmg"

Druid,Restoration,Healer,Red,Runed Cardinal Ruby,40113,,,"SP"
Druid,Restoration,Healer,Yellow,Quick King's Amber,40155,,,"Haste"
Druid,Restoration,Healer,Blue,Brilliant King's Amber,40123,,,"Int"
Druid,Restoration,Healer,Meta,Insightful Earthsiege Diamond,41401,,,"mana proc"

Mage,Fire,DPS,Red,Runed Cardinal Ruby,40113,,,"SP"
Mage,Fire,DPS,Yellow,Reckless Ametrine,40133,,,"SP + Haste"
Mage,Fire,DPS,Blue,Nightmare Tear,44342,Runed Cardinal Ruby,40113,Activar meta
Mage,Fire,DPS,Meta,Chaotic Skyflare Diamond,41285,,,"crit dmg"

Mage,Arcane,DPS,Red,Runed Cardinal Ruby,40113,,,"SP"
Mage,Arcane,DPS,Yellow,Quick King's Amber,40155,,,"Haste stacking"
Mage,Arcane,DPS,Blue,Nightmare Tear,44342,Runed Cardinal Ruby,40113,Activar meta
Mage,Arcane,DPS,Meta,Chaotic Skyflare Diamond,41285,,,"crit dmg"

Warlock,Affliction,DPS,Red,Runed Cardinal Ruby,40113,,,"SP"
Warlock,Affliction,DPS,Yellow,Reckless Ametrine,40133,,,"SP + Haste"
Warlock,Affliction,DPS,Blue,Nightmare Tear,44342,Runed Cardinal Ruby,40113,Activar meta
Warlock,Affliction,DPS,Meta,Chaotic Skyflare Diamond,41285,,,"crit dmg"

Warlock,Demonology,DPS,Red,Runed Cardinal Ruby,40113,,,"SP"
Warlock,Demonology,DPS,Yellow,Reckless Ametrine,40133,,,"SP + Haste"
Warlock,Demonology,DPS,Blue,Nightmare Tear,44342,Runed Cardinal Ruby,40113,Activar meta
Warlock,Demonology,DPS,Meta,Chaotic Skyflare Diamond,41285,,,"crit dmg"

Priest,Shadow,DPS,Red,Runed Cardinal Ruby,40113,,,"SP"
Priest,Shadow,DPS,Yellow,Reckless Ametrine,40133,,,"SP + Haste"
Priest,Shadow,DPS,Blue,Nightmare Tear,44342,Runed Cardinal Ruby,40113,Activar meta
Priest,Shadow,DPS,Meta,Chaotic Skyflare Diamond,41285,,,"crit dmg"

Priest,Holy,Healer,Red,Runed Cardinal Ruby,40113,,,"SP"
Priest,Holy,Healer,Yellow,Quick King's Amber,40155,,,"Haste"
Priest,Holy,Healer,Blue,Brilliant King's Amber,40123,,,"Int"
Priest,Holy,Healer,Meta,Insightful Earthsiege Diamond,41401,,,"mana proc"

Priest,Discipline,Healer,Red,Runed Cardinal Ruby,40113,,,"SP"
Priest,Discipline,Healer,Yellow,Quick King's Amber,40155,,,"Haste"
Priest,Discipline,Healer,Blue,Brilliant King's Amber,40123,,,"Int"
Priest,Discipline,Healer,Meta,Insightful Earthsiege Diamond,41401,,,"mana proc"
